Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,5,asymmetric,0.61,0.475069687
75% Corpus,5,asymmetric,0.91,0.448190927
75% Corpus,5,asymmetric,symmetric,0.501600613
75% Corpus,6,0.01,0.01,0.340920149
75% Corpus,6,0.01,0.31,0.499523196
75% Corpus,6,0.01,0.61,0.554922683
75% Corpus,6,0.01,0.91,0.432107809
75% Corpus,6,0.01,symmetric,0.463540549
75% Corpus,6,0.31,0.01,0.39468116
75% Corpus,6,0.31,0.31,0.494042479
75% Corpus,6,0.31,0.61,0.441735899
75% Corpus,6,0.31,0.91,0.490155664
75% Corpus,6,0.31,symmetric,0.448304589
75% Corpus,6,0.61,0.01,0.377031451
75% Corpus,6,0.61,0.31,0.442511387
75% Corpus,6,0.61,0.61,0.51571141
75% Corpus,6,0.61,0.91,0.555567381
75% Corpus,6,0.61,symmetric,0.369268948
75% Corpus,6,0.91,0.01,0.382670321
75% Corpus,6,0.91,0.31,0.420034736
75% Corpus,6,0.91,0.61,0.498310146
75% Corpus,6,0.91,0.91,0.537653659
75% Corpus,6,0.91,symmetric,0.391638683
75% Corpus,6,symmetric,0.01,0.36645455
75% Corpus,6,symmetric,0.31,0.484837614
75% Corpus,6,symmetric,0.61,0.492679227
75% Corpus,6,symmetric,0.91,0.455345945
75% Corpus,6,symmetric,symmetric,0.449728583
75% Corpus,6,asymmetric,0.01,0.400536725
75% Corpus,6,asymmetric,0.31,0.505618217
75% Corpus,6,asymmetric,0.61,0.517020656
75% Corpus,6,asymmetric,0.91,0.5500622
75% Corpus,6,asymmetric,symmetric,0.503440513
75% Corpus,7,0.01,0.01,0.366665501
75% Corpus,7,0.01,0.31,0.503319937
75% Corpus,7,0.01,0.61,0.542371008
75% Corpus,7,0.01,0.91,0.435509607
75% Corpus,7,0.01,symmetric,0.477236647
75% Corpus,7,0.31,0.01,0.367766347
75% Corpus,7,0.31,0.31,0.495595765
75% Corpus,7,0.31,0.61,0.517098139
75% Corpus,7,0.31,0.91,0.477524072
75% Corpus,7,0.31,symmetric,0.434643459
75% Corpus,7,0.61,0.01,0.394235786
75% Corpus,7,0.61,0.31,0.459570093
75% Corpus,7,0.61,0.61,0.487836665
75% Corpus,7,0.61,0.91,0.494652943
75% Corpus,7,0.61,symmetric,0.406225121
75% Corpus,7,0.91,0.01,0.386649909
75% Corpus,7,0.91,0.31,0.454617349
75% Corpus,7,0.91,0.61,0.529232442
